,concept.id,relationship.source-name,relationship.target-namespace,relationship.preferred-label,relationship.tree-depth,relationship.tree-sequence,relationship.target-name,fact.value,concept.is-base,concept.local-name,dimensions.count,period.fiscal-year,period.fiscal-period,dimension.local-name,member.local-name
31,44127997,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,22,NetIncomeLoss,-11817000000,True,NetIncomeLoss,0.0,2024.0,Y,,
32,44127997,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,22,NetIncomeLoss,-2222000000,True,NetIncomeLoss,0.0,2023.0,Y,,
33,44127997,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,22,NetIncomeLoss,-4935000000,True,NetIncomeLoss,0.0,2022.0,Y,,
49,44121964,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,23,PreferredStockDividendsIncomeStatementImpact,58000000,True,PreferredStockDividendsIncomeStatementImpact,0.0,2024.0,Y,,
50,44121964,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,23,PreferredStockDividendsIncomeStatementImpact,,True,PreferredStockDividendsIncomeStatementImpact,0.0,2023.0,Y,,
51,44121964,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,23,PreferredStockDividendsIncomeStatementImpact,,True,PreferredStockDividendsIncomeStatementImpact,0.0,2022.0,Y,,
40,44128533,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,24,NetIncomeLossAvailableToCommonStockholdersDiluted,-11875000000,True,NetIncomeLossAvailableToCommonStockholdersDiluted,0.0,2024.0,Y,,
41,44128533,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,24,NetIncomeLossAvailableToCommonStockholdersDiluted,-2222000000,True,NetIncomeLossAvailableToCommonStockholdersDiluted,0.0,2023.0,Y,,
42,44128533,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,24,NetIncomeLossAvailableToCommonStockholdersDiluted,-4935000000,True,NetIncomeLossAvailableToCommonStockholdersDiluted,0.0,2022.0,Y,,
37,44127993,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,25,NetIncomeLossAvailableToCommonStockholdersBasic,-11875000000,True,NetIncomeLossAvailableToCommonStockholdersBasic,0.0,2024.0,Y,,
38,44127993,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,25,NetIncomeLossAvailableToCommonStockholdersBasic,-2222000000,True,NetIncomeLossAvailableToCommonStockholdersBasic,0.0,2023.0,Y,,
39,44127993,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,25,NetIncomeLossAvailableToCommonStockholdersBasic,-4935000000,True,NetIncomeLossAvailableToCommonStockholdersBasic,0.0,2022.0,Y,,
4,44125511,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,26,EarningsPerShareBasic,-18.36,True,EarningsPerShareBasic,0.0,2024.0,Y,,
5,44125511,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,26,EarningsPerShareBasic,-3.67,True,EarningsPerShareBasic,0.0,2023.0,Y,,
6,44125511,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,26,EarningsPerShareBasic,-8.3,True,EarningsPerShareBasic,0.0,2022.0,Y,,
7,44123082,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,27,EarningsPerShareDiluted,-18.36,True,EarningsPerShareDiluted,0.0,2024.0,Y,,
8,44123082,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,27,EarningsPerShareDiluted,-3.67,True,EarningsPerShareDiluted,0.0,2023.0,Y,,
9,44123082,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,27,EarningsPerShareDiluted,-8.3,True,EarningsPerShareDiluted,0.0,2022.0,Y,,
